part_number,manufacturer,description,category,product_name,image_url,featured
1SAE231111R0640,ABB,Compact I/O base with fast...,PLC I/O,ET 200SP Terminal,https://www.img.com/,TRUE
1SAE341111R0640,ABB,,,,,
1SAM250000R1011,ABB,,,,,
1SAM350000R1012,ABB,,,,,
1SAZ711201R1038,ABB,,,,,
1SBL237001R1200,ABB,,,,,
1SVR740884R3300,ABB,,,,,
2CDD283101R0063,ABB,,,,,
2CDD284101R0063,ABB,,,,,
2CDE101001R1901,ABB,,,,,
2CDE103001R1901,ABB,,,,,
2CDG110003R0011,ABB,,,,,
2CDG110070R0011,ABB,,,,,
2CDG110198R0011,ABB,,,,,
2CDS253001R0065,ABB,,,,,
2CDS253001R0164,ABB,,,,,
2CDS253001R0165,ABB,,,,,
2CDS253001R0205,ABB,,,,,
2CDS253001R0254,ABB,,,,,
2CDS253001R0255,ABB,,,,,
2CDS253001R0324,ABB,,,,,
2CDS253001R0325,ABB,,,,,
2CDS273001R0165,ABB,,,,,
2CDS781001R4352,ABB,,,,,
2CDS781001R4632,ABB,,,,,
2CSM100090R1111,ABB,,,,,
2CTB803972R0500,ABB,,,,,
2CTB803972R1300,ABB,,,,,
2CTB803973R0500,ABB,,,,,
2CTB803973R1100,ABB,,,,,
2CTB803973R1200,ABB,,,,,
2CTB803973R1600,ABB,,,,,
2CTB815799R2800,ABB,,,,,
2CTB815799R3100,ABB,,,,,
7TCA085400R0292,ABB,,,,,
7TCA085400R0334,ABB,,,,,
7TCA085400R0336,ABB,,,,,
GHQ6310009R0001,ABB,,,,,
5039-233854.07,Aeg,,,,,
ADU115,Aeg,,,,,
ADU116,Aeg,,,,,
ALU152,Aeg,,,,,
BKF101,Aeg,,,,,
BKF201,Aeg,,,,,
DAP112,Aeg,,,,,
DAU109,Aeg,,,,,
DEA116,Aeg,,,,,
DEP112,Aeg,,,,,
DNP106,Aeg,,,,,
DTA200/AS-HDTA-200,Aeg,,,,,
GEADATKOS202,Aeg,,,,,
ITW220-15,Aeg,,,,,
KOS140,Aeg,,,,,
PAD-250/K,Aeg,,,,,
PAD-250/L,Aeg,,,,,
TWS220-45HT,Aeg,,,,,
100-K05KF10,Allen Bradley,,,,,
100S-C16DJ32BC,Allen Bradley,,,,,
1403-CF001,Allen Bradley,,,,,
140-MN-0040,Allen Bradley,,,,,
1492-RCD2A16,Allen Bradley,,,,,
1492-SP3D100,Allen Bradley,,,,,
160-BMB2,Allen Bradley,,,,,
1734-CTM,Allen Bradley,,,,,
1734-IE4C,Allen Bradley,,,,,
1734-OE2C,Allen Bradley,,,,,
1734-VTM,Allen Bradley,,,,,
1756-LSP,Allen Bradley,,,,,
1756-M08SE,Allen Bradley,,,,,
1756-M16SE,Allen Bradley,,,,,
1756-N2,Allen Bradley,,,,,
1762-IQ8OW6,Allen Bradley,,,,,
1762-OB16,Allen Bradley,,,,,
1769-HSC,Allen Bradley,,,,,
1769-IQ16,Allen Bradley,,,,,
1771-IBD,Allen Bradley,,,,,
1771-IFE,Allen Bradley,,,,,
1786-BNCP,Allen Bradley,,,,,
25B-D2P3N114,Allen Bradley,,,,,
2711-ND2DE,Allen Bradley,,,,,
2711-NM12,Allen Bradley,,,,,
42SMP-7600,Allen Bradley,,,,,
700-CF220B,Allen Bradley,,,,,
800EP-F3,Allen Bradley,,,,,
800EP-P4,Allen Bradley,,,,,
800F-Q3G,Allen Bradley,,,,,
802A-A26P3-S9,Allen Bradley,,,,,
855T-B24GL3,Allen Bradley,,,,,
855T-B24GL5,Allen Bradley,,,,,
BCSM18T4G2-PSC15G-S04G,Balluff,,,,,
BESM12MG1-POC60B-S04G,Balluff,,,,,
BFOD22-LA-RB-EAK-10-02,Balluff,,,,,
BISC-319-PU1-05,Balluff,,,,,
BKS-S76-RT04,Balluff,,,,,
BKS-S79-00,Balluff,,,,,
BMF303-HW-30,Balluff,,,,,
BMF303-HW-40,Balluff,,,,,
BMF303K-PS-C-2-PU-03,Balluff,,,,,
BMF305-HW-24,Balluff,,,,,
BMF305M-PS-C-2-SA4-S49,Balluff,,,,,
BNS816-B05-THA-16-602-11,Balluff,,,,,
BOS5K-PO-IX10-S75,Balluff,,,,,
BOSQ08M-PS-RE10-S49,Balluff,,,,,
BWL2222B-001-S4,Balluff,,,,,
BK3010,Beckhoff,,,,,
BK3100,Beckhoff,,,,,
BK3110,Beckhoff,,,,,
BK4000,Beckhoff,,,,,
EK1122,Beckhoff,,,,,
EL1904,Beckhoff,,,,,
EL2904,Beckhoff,,,,,
EL3058,Beckhoff,,,,,
EL3154,Beckhoff,,,,,
EL4032,Beckhoff,,,,,
EL6631,Beckhoff,,,,,
EL6692,Beckhoff,,,,,
EL6731-0010,Beckhoff,,,,,
EL6751-0010,Beckhoff,,,,,
EL9100,Beckhoff,,,,,
EL9110,Beckhoff,,,,,
EL9189,Beckhoff,,,,,
EM3702,Beckhoff,,,,,
EP2316-0008,Beckhoff,,,,,
EP2339-0003,Beckhoff,,,,,
EP3184-0002,Beckhoff,,,,,
EP5101-0011,Beckhoff,,,,,
EP6001-0002,Beckhoff,,,,,
EP7041-3102,Beckhoff,,,,,
ES5001,Beckhoff,,,,,
IE2808,Beckhoff,,,,,
IE4132,Beckhoff,,,,,
IE5109,Beckhoff,,,,,
IL2302-B200,Beckhoff,,,,,
