part_number,manufacturer,condition,price,lead_time,vendor,location,quantity 
	 800ES-LMP24,Allen Bradley,new,1,,Stanlo Automation,USA,1
	 MPL-B680F-SJ22AA,Allen Bradley,new,1,,Stanlo Automation,USA,1
	1336F-B025-AA-EN-HCS2-LA1-L6,Allen Bradley,new,1,,Stanlo Automation,USA,1
	1395-A75-C4-P10,Allen Bradley,new,1,,Stanlo Automation,USA,1
	20DD014A3NYYACBNE,Allen Bradley,new,1,,Stanlo Automation,USA,1
	5069-ECR,Allen Bradley,new,1,,Stanlo Automation,USA,1
	800R2HAD10G7M1,Allen Bradley,new,1,,Stanlo Automation,USA,1
  800F-37YE251     ,Allen Bradley,new,1,,Stanlo Automation,USA,1
 1492-SP C6A ,Allen Bradley,new,1,,Stanlo Automation,USA,1
 150-A54NBDD,Allen Bradley,new,1,,Stanlo Automation,USA,1
 1747-L30A ,Allen Bradley,new,1,,Stanlo Automation,USA,1
 190E-DND2-DC20C,Allen Bradley,new,1,,Stanlo Automation,USA,1
 2080-LC70 -24QWB,Allen Bradley,new,1,,Stanlo Automation,USA,1
 2090-SCEPO-2,Allen Bradley,new,1,,Stanlo Automation,USA,1
 20AD040C3AYNACC0   ,Allen Bradley,new,1,,Stanlo Automation,USA,1
 20BD027A3AYNAND0 ,Allen Bradley,new,1,,Stanlo Automation,USA,1
 20BD040A0AYNACC1,Allen Bradley,new,1,,Stanlo Automation,USA,1
 20BD052A0AYNAED0,Allen Bradley,new,1,,Stanlo Automation,USA,1
 20CD460A0ANNBNN0,Allen Bradley,new,1,,Stanlo Automation,USA,1
 20F11NEO32JA0NNNN,Allen Bradley,new,1,,Stanlo Automation,USA,1
 2711P–RDT10CX,Allen Bradley,new,1,,Stanlo Automation,USA,1
 505-TOD,Allen Bradley,new,1,,Stanlo Automation,USA,1
 5069-IB8S,Allen Bradley,new,1,,Stanlo Automation,USA,1
 6181P-17C2MW71AC,Allen Bradley,new,1,,Stanlo Automation,USA,1
 6182H-12TRH4D,Allen Bradley,new,1,,Stanlo Automation,USA,1
 800T-PCL316 ,Allen Bradley,new,1,,Stanlo Automation,USA,1
 800T-QBH24BA2,Allen Bradley,new,1,,Stanlo Automation,USA,1
 800T-X540YYE,Allen Bradley,new,1,,Stanlo Automation,USA,1
 837-A3J ,Allen Bradley,new,1,,Stanlo Automation,USA,1
 844D-B8AC4CK,Allen Bradley,new,1,,Stanlo Automation,USA,1
 9101-1468-025,Allen Bradley,new,1,,Stanlo Automation,USA,1
 CCS2T20,Allen Bradley,new,1,,Stanlo Automation,USA,1
 MPF-A310P-MJ74BA,Allen Bradley,new,1,,Stanlo Automation,USA,1
 MPL-A320P-HJ22AA,Allen Bradley,new,1,,Stanlo Automation,USA,1
 MPL-B220T-EJ42AAA,Allen Bradley,new,1,,Stanlo Automation,USA,1
 U-500-OHM,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-A09ND3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-A12ND3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-A24ND3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-A30 ND3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-B110N-3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-B180N*3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-B180ND3,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-B400ND3  ,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-B600N*3 ,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09-01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09*10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09A10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09B10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09D*10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09D01,Allen Bradley,new,1,,Stanlo Automation,USA,1
"100-C09D01 , 24V",Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09D10-9A,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09D200,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09D400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09DJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09DJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09E*10A,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09E10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09ED10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09EJ300,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09EJ400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09J10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09KD10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09KJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09KY10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09UD10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09UEJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09UKD10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09X10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09ZA10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C09ZJ10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C12*10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C12A10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C12D01,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C12D10,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C12D400,Allen Bradley,new,1,,Stanlo Automation,USA,1
100-C12DJ01,Allen Bradley,new,1,,Stanlo Automation,USA,1
