part_number,manufacturer,condition,price,lead_time,vendor,location,quantity 
1SAE231111R0640,ABB,NEW SURPLUS IN SEALED PACKAGING,17.5,7-10 Days,Greinert & Glatt,Europe,5
1SAE341111R0640,ABB,NEW SURPLUS IN SEALED PACKAGING,36.5,7-10 Days,Greinert & Glatt,Europe,5
1SAM250000R1011,ABB,NEW SURPLUS IN SEALED PACKAGING,44.5,7-10 Days,Greinert & Glatt,Europe,5
1SAM350000R1012,ABB,NEW SURPLUS IN SEALED PACKAGING,57,7-10 Days,Greinert & Glatt,Europe,5
1SAZ711201R1038,ABB,NEW SURPLUS,12.4,7-10 Days,Greinert & Glatt,Europe,5
1SBL237001R1200,ABB,NEW SURPLUS,18.6,7-10 Days,Greinert & Glatt,Europe,5
1SVR740884R3300,ABB,NEW SURPLUS IN SEALED PACKAGING,149,7-10 Days,Greinert & Glatt,Europe,5
2CDD283101R0063,ABB,NEW SURPLUS IN SEALED PACKAGING,30.5,7-10 Days,Greinert & Glatt,Europe,5
2CDD284101R0063,ABB,NEW SURPLUS IN SEALED PACKAGING,40.5,7-10 Days,Greinert & Glatt,Europe,5
2CDE101001R1901,ABB,NEW SURPLUS IN SEALED PACKAGING,78,7-10 Days,Greinert & Glatt,Europe,5
2CDE103001R1901,ABB,NEW SURPLUS IN SEALED PACKAGING,56,7-10 Days,Greinert & Glatt,Europe,5
2CDG110003R0011,ABB,NEW SURPLUS IN SEALED PACKAGING,43.5,7-10 Days,Greinert & Glatt,Europe,5
2CDG110070R0011,ABB,NEW SURPLUS,80,7-10 Days,Greinert & Glatt,Europe,5
2CDG110198R0011,ABB,NEW SURPLUS IN SEALED PACKAGING,310,7-10 Days,Greinert & Glatt,Europe,5
2CDS253001R0065,ABB,NEW SURPLUS IN SEALED PACKAGING,18.4,7-10 Days,Greinert & Glatt,Europe,5
2CDS253001R0164,ABB,NEW SURPLUS IN SEALED PACKAGING,23,7-10 Days,Greinert & Glatt,Europe,5
2CDS253001R0165,ABB,NEW SURPLUS IN SEALED PACKAGING,15.1,7-10 Days,Greinert & Glatt,Europe,5
2CDS253001R0205,ABB,NEW SURPLUS IN SEALED PACKAGING,16.6,7-10 Days,Greinert & Glatt,Europe,5
2CDS253001R0254,ABB,NEW SURPLUS,22,7-10 Days,Greinert & Glatt,Europe,5
2CDS253001R0255,ABB,NEW SURPLUS IN SEALED PACKAGING,18.4,7-10 Days,Greinert & Glatt,Europe,5
2CDS253001R0324,ABB,NEW SURPLUS IN SEALED PACKAGING,31,7-10 Days,Greinert & Glatt,Europe,5
2CDS253001R0325,ABB,NEW SURPLUS IN SEALED PACKAGING,20,7-10 Days,Greinert & Glatt,Europe,5
2CDS273001R0165,ABB,NEW SURPLUS IN SEALED PACKAGING,26.5,7-10 Days,Greinert & Glatt,Europe,5
2CDS781001R4352,ABB,NEW SURPLUS IN SEALED PACKAGING,230,7-10 Days,Greinert & Glatt,Europe,5
2CDS781001R4632,ABB,NEW SURPLUS IN SEALED PACKAGING,92,7-10 Days,Greinert & Glatt,Europe,5
2CSM100090R1111,ABB,NEW SURPLUS IN SEALED PACKAGING,17.4,7-10 Days,Greinert & Glatt,Europe,5
2CTB803972R0500,ABB,NEW SURPLUS IN SEALED PACKAGING,94,7-10 Days,Greinert & Glatt,Europe,5
